,Condition,Best_Epoch
355,HomoTrainOrthoVal,68
356,HomoTrainOrthoVal,59
357,HomoTrainOrthoVal,71
358,HomoTrainOrthoVal,54
359,HomoTrainOrthoVal,61
360,HomoTrainOrthoVal,64
361,HomoTrainOrthoVal,65
362,HomoTrainOrthoVal,64
363,HomoTrainOrthoVal,63
364,HomoTrainOrthoVal,66
365,HomoTrainOrthoVal,73
366,HomoTrainOrthoVal,71
367,HomoTrainOrthoVal,58
368,HomoTrainOrthoVal,71
369,HomoTrainOrthoVal,64
370,HomoTrainOrthoVal,62
371,HomoTrainOrthoVal,65
372,HomoTrainOrthoVal,68
373,HomoTrainOrthoVal,73
374,HomoTrainOrthoVal,63
375,HomoTrainOrthoVal,73
376,HomoTrainOrthoVal,73
377,HomoTrainOrthoVal,64
378,HomoTrainOrthoVal,62
379,HomoTrainOrthoVal,73
380,HomoTrainOrthoVal,58
381,HomoTrainOrthoVal,55
382,HomoTrainOrthoVal,61
383,HomoTrainOrthoVal,67
384,HomoTrainOrthoVal,65
385,HomoTrainOrthoVal,71
386,HomoTrainOrthoVal,61
387,HomoTrainOrthoVal,68
388,HomoTrainOrthoVal,65
389,HomoTrainOrthoVal,67
390,HomoTrainOrthoVal,71
391,HomoTrainOrthoVal,59
392,HomoTrainOrthoVal,66
393,HomoTrainOrthoVal,59
394,HomoTrainOrthoVal,65
395,HomoTrainOrthoVal,68
396,HomoTrainOrthoVal,65
397,HomoTrainOrthoVal,59
398,HomoTrainOrthoVal,60
399,HomoTrainOrthoVal,67
400,HomoTrainOrthoVal,75
401,HomoTrainOrthoVal,59
402,HomoTrainOrthoVal,76
403,HomoTrainOrthoVal,60
404,HomoTrainOrthoVal,66
405,HomoTrainOrthoVal,68
406,HomoTrainOrthoVal,73
407,HomoTrainOrthoVal,60
408,HomoTrainOrthoVal,70
409,HomoTrainOrthoVal,68
410,HomoTrainOrthoVal,67
411,HomoTrainOrthoVal,67
412,HomoTrainOrthoVal,75
413,HomoTrainOrthoVal,60
414,HomoTrainOrthoVal,64
